ID,Name,Elo
200,Southern Miss,336.55502796810873
201,Wm Carey,392.0
202,E Michigan,444.90082788710737
203,St Francis IL,392.0
204,Sam Houston St,500.8856187889836
205,Austin Col,392.0
206,MTSU,422.7889187091105
207,Ohio Valley,384.7261928720653
208,Army,409.112603146151
209,Air Force,367.2543772834094
210,Wichita St,546.2926556806079
211,New Mexico St,488.4405057832423
212,Florida Intl,394.4715563885488
213,Florida Col,392.0
214,Dayton,571.0789963643291
215,Alabama A&M,297.7125848470445
216,VMI,352.15338143133124
217,Citadel,290.5682667183594
218,Mississippi St,370.1916508876035
219,W Carolina,392.57081111430375
220,Florida,454.6971095071453
221,William & Mary,483.0656254570054
222,West Virginia,579.220521451138
223,Monmouth NJ,418.7132603707856
224,VA Commonwealth,508.8155987271655
225,Tennessee,398.33839252737806
226,North Texas,347.5343604570488
227,Ark Monticello,375.9189526978078
228,Quinnipiac,308.8051757498399
229,Yale,545.6059814457053
230,Fairfield,380.8908117841227
231,Central Conn,276.06965318416184
232,Duke,583.248774205785
233,Presbyterian,310.2401404187029
234,Chattanooga,575.3520622213891
235,Hiwassee,344.31124959335574
236,St John's,469.0528221810135
237,NJIT,438.7841932841992
238,Maryland,579.7290618774465
239,Wagner,425.8868462382869
240,Elon,384.86360289960106
241,FL Atlantic,323.91528257842697
242,Kansas,650.2020558804585
243,Santa Barbara,449.3069570201158
244,Iowa St,519.1994695444432
245,Oakland,477.6254434418524
246,Coastal Car,484.0934715953066
247,Trinity Bap,366.8653948714983
248,Buffalo,505.5445561885818
249,S Dakota St,478.56539537227417
250,Temple,527.3977498448488
251,American Univ,401.3418475145065
252,Campbell,316.1267639290269
253,Barber-Scotia,377.2234285257891
254,Richmond,435.4508900626138
255,Radford,426.27475001282585
256,Oklahoma St,433.5400911649375
257,SE Louisiana,317.6731550807468
258,Cincinnati,519.2738589653228
259,St Francis PA,394.03363614942464
260,Houston,470.069705327925
261,Murray St,535.1549804407755
262,BYU,504.8962438705525
263,Long Beach St,404.1496208404192
264,Pacific,319.1850109730199
265,W Illinois,319.6643406468597
266,Indiana St,402.3467791171733
267,IUPUI,350.9365014716644
268,Texas,513.0612345063313
269,N Dakota St,486.8629984692206
270,TCU,416.7634298144188
271,Prairie View,296.6335673982485
272,UT Arlington,396.8906266777878
273,Bradley,239.3469632253672
274,Brown,310.834252200836
275,St Peter's,386.40317240554873
276,Detroit,386.1158388269314
277,Rochester MI,370.0673636754518
278,Longwood,293.5003398042067
279,Averett,384.1841742594847
280,Charleston So,450.66680195638986
281,Mississippi,481.93060285423934
282,Cornell,338.045274600059
283,George Mason,322.2645988397577
284,G Washington,453.2722450165385
285,Grambling,189.3816196425872
286,Purdue,563.4018457784114
287,Samford,344.1633106792248
288,Syracuse,475.4235477058404
289,Kennesaw,330.20154046030683
290,South Carolina,509.4429548661184
291,North Florida,492.02659177986106
292,UNC Greensboro,343.5171302589321
293,Chowan,384.3594409176437
294,Mercer,420.4666894713821
295,Piedmont,350.6446030387266
296,Rhode Island,465.6162685353507
297,Pace,392.0
298,Penn St,415.3490319862249
299,Morgan St,293.88001182699315
300,Ohio St,481.5280939149901
301,MA Lowell,356.4453215716711
302,E Kentucky,445.3550535278509
303,Savannah St,317.1933021152013
304,Wright St,330.5964058924613
305,Belmont,488.35691391111
306,Indiana,546.2008161612918
307,MS Valley St,276.51117629006467
308,Stony Brook,549.5545870829707
309,Columbia,463.4636699869204
310,F Dickinson,307.0034902712148
311,St Joseph's PA,373.6962030253076
312,Marshall,402.0177918585677
313,Jacksonville St,352.8358012100801
314,Harvard,453.7288232359695
315,MIT,392.0
316,SC Upstate,459.6439964448679
317,UC Riverside,381.3336535621799
318,UC San Diego,392.0
319,Oral Roberts,398.1010127416949
320,Tulsa,508.3900073124297
321,St Louis,334.7029805273068
322,S Illinois,351.351149606408
323,Kent,459.4601759484164
324,Youngstown St,331.20406215313955
325,Nevada,402.7378256494654
326,Cal Poly SLO,381.1332483866686
327,Providence,530.5533661415416
328,Albany NY,500.1753289416533
329,S Francisco St,383.8200665091621
330,St Bonaventure,430.68405987947375
331,Dartmouth,359.4990713442516
332,Duquesne,389.1167963973252
333,Bluefield WV,392.0
334,ULM,451.0875885877849
335,UAB,439.7762271043249
336,Colorado St,521.076872765399
337,Montana,488.1169306167168
338,Portland St,400.2699641924008
339,USC,361.60216814172895
340,San Diego Chr,346.9378185214552
341,Canisius,363.6235997954874
342,Vermont,463.0762441815264
343,Northern Iowa,555.2259294519602
344,North Dakota,369.3968871110274
345,Ohio,455.52699644469874
346,Appalachian St,380.7483542531392
347,Davidson,514.2221144939975
348,Catholic,392.0
349,FL Gulf Coast,463.1798282010538
350,Nova SE,392.0
351,Georgetown,452.42046701742674
352,St Francis NY,472.008723237096
353,Old Dominion,503.923470849677
354,UNC Wilmington,429.1101242391277
355,Florida St,424.31262566259255
356,Manhattan,386.0472689622874
357,Bethune-Cookman,328.0474005152374
358,Trinity FL,384.0
359,LSU,474.0814204703855
360,Gardner Webb,436.0182074359656
361,WI Green Bay,490.1265080905754
362,IL Springfield,392.0
363,Winthrop,499.50865763710544
364,Butler,528.3796163162768
365,Maine,230.8525156830694
366,W Kentucky,443.2150363420718
