playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary
beltrca01,2001,1,155,617,106,189,32,12,24,101.0,31.0,1.0,52,120.0,2.0,5.0,1.0,5.0,7.0,1977.0,4.0,24.0,P.R.,,Manati,,,,,,,Carlos,Beltran,Carlos Ivan,215.0,73.0,B,R,1998-09-14,2017-10-01,beltc001,beltrca01,2002,KCA,AL,3500000
benarma01,2001,1,129,392,70,104,19,2,15,44.0,10.0,5.0,29,66.0,2.0,4.0,1.0,3.0,3.0,1971.0,1.0,20.0,Nicaragua,Atlantico Sur,Bluefields,,,,,,,Marvin,Benard,Marvin Larry,180.0,70.0,L,L,1995-09-05,2003-09-27,benam001,benarma01,2002,SFN,NL,4200000
bergepe01,2001,1,102,375,53,79,11,4,3,16.0,10.0,7.0,28,87.0,2.0,5.0,8.0,0.0,5.0,1977.0,11.0,9.0,USA,MA,Greenfield,,,,,,,Peter,Bergeron,Peter Francis,185.0,74.0,L,R,1999-09-07,2004-04-18,bergp001,bergepe01,2002,MON,NL,250000
berkmla01,2001,1,156,577,110,191,55,5,34,126.0,7.0,9.0,92,121.0,5.0,13.0,0.0,6.0,8.0,1976.0,2.0,10.0,USA,TX,Waco,,,,,,,Lance,Berkman,William Lance,220.0,73.0,B,L,1999-07-16,2013-09-17,berkl001,berkmla01,2002,HOU,NL,500000
biggicr01,2001,1,155,617,118,180,35,3,20,70.0,7.0,4.0,66,100.0,4.0,28.0,0.0,6.0,11.0,1965.0,12.0,14.0,USA,NY,Smithtown,,,,,,,Craig,Biggio,Craig Alan,185.0,71.0,R,R,1988-06-26,2007-09-30,biggc001,biggicr01,2002,HOU,NL,8750000
blanche01,2001,1,104,314,33,66,18,3,6,31.0,3.0,1.0,34,72.0,6.0,2.0,5.0,2.0,10.0,1971.0,8.0,29.0,Venezuela,Distrito Federal,Caracas,,,,,,,Henry,Blanco,Henry Ramon,220.0,71.0,R,R,1997-07-25,2013-09-23,blanh001,blanche01,2002,ATL,NL,1512500
blumge01,2001,1,148,453,57,107,25,0,9,50.0,9.0,5.0,43,94.0,8.0,10.0,3.0,5.0,12.0,1973.0,4.0,26.0,USA,CA,Redwood City,,,,,,,Geoff,Blum,Geoffrey Edward,220.0,75.0,B,R,1999-08-09,2012-07-17,blumg001,blumge01,2002,HOU,NL,315000
bondsba01,2001,1,153,476,129,156,32,2,73,137.0,13.0,3.0,177,93.0,35.0,9.0,0.0,2.0,5.0,1964.0,7.0,24.0,USA,CA,Riverside,,,,,,,Barry,Bonds,Barry Lamar,185.0,73.0,L,L,1986-05-30,2007-09-26,bondb001,bondsba01,2002,SFN,NL,15000000
booneaa01,2001,1,103,381,54,112,26,2,14,62.0,6.0,3.0,29,71.0,1.0,8.0,3.0,6.0,9.0,1973.0,3.0,9.0,USA,CA,La Mesa,,,,,,,Aaron,Boone,Aaron John,190.0,74.0,R,R,1997-06-20,2009-10-04,boona001,booneaa01,2002,CIN,NL,2100000
boonebr01,2001,1,158,623,118,206,37,3,37,141.0,5.0,5.0,40,110.0,5.0,9.0,5.0,13.0,11.0,1969.0,4.0,6.0,USA,CA,El Cajon,,,,,,,Bret,Boone,Bret Robert,180.0,70.0,R,R,1992-08-19,2005-07-30,boonb002,boonebr01,2002,SEA,AL,8000000
branyru01,2001,1,113,315,48,73,16,2,20,54.0,1.0,1.0,38,132.0,1.0,3.0,0.0,5.0,2.0,1975.0,12.0,19.0,USA,GA,Warner Robins,,,,,,,Russell,Branyan,Russell Oles,235.0,76.0,L,R,1998-09-26,2011-09-26,branr001,branyru01,2002,CLE,AL,251000
burksel01,2001,1,124,439,83,123,29,1,28,74.0,5.0,1.0,62,85.0,2.0,5.0,0.0,9.0,16.0,1964.0,9.0,11.0,USA,MS,Vicksburg,,,,,,,Ellis,Burks,Ellis Rena,175.0,74.0,R,R,1987-04-30,2004-10-02,burke001,burksel01,2002,CLE,AL,6666667
burnije01,2001,1,154,562,104,141,32,4,34,100.0,0.0,4.0,80,150.0,9.0,5.0,0.0,4.0,8.0,1969.0,4.0,15.0,USA,CA,Westminster,,,,,,,Jeromy,Burnitz,Jeromy Neal,190.0,72.0,L,R,1993-06-21,2006-09-27,burnj001,burnije01,2002,NYN,NL,7166667
burrepa01,2001,1,155,539,70,139,29,2,27,89.0,2.0,1.0,70,162.0,7.0,5.0,0.0,4.0,12.0,1976.0,10.0,10.0,USA,AR,Eureka Springs,,,,,,,Pat,Burrell,Patrick Brian,235.0,76.0,R,R,2000-05-24,2011-09-28,burrp001,burrepa01,2002,PHI,NL,1905000
cabreor01,2001,1,162,626,64,173,41,6,14,96.0,19.0,7.0,43,54.0,5.0,4.0,4.0,7.0,15.0,1974.0,11.0,2.0,Colombia,Bolivar,Cartagena,,,,,,,Orlando,Cabrera,Orlando Luis,195.0,70.0,R,R,1997-09-03,2011-09-23,cabro001,cabreor01,2002,MON,NL,2400000
camermi01,2001,1,150,540,99,144,30,5,25,110.0,34.0,5.0,69,155.0,3.0,10.0,1.0,13.0,13.0,1973.0,1.0,8.0,USA,GA,La Grange,,,,,,,Mike,Cameron,Michael Terrance,210.0,74.0,R,R,1995-08-27,2011-09-12,camem001,camermi01,2002,SEA,AL,4666667
caseyse01,2001,1,145,533,69,165,40,0,13,89.0,3.0,1.0,43,63.0,8.0,9.0,0.0,3.0,16.0,1974.0,7.0,2.0,USA,NJ,Willingboro,,,,,,,Sean,Casey,Sean Thomas,215.0,76.0,L,R,1997-09-12,2008-09-28,cases001,caseyse01,2002,CIN,NL,4000000
castilu01,2001,1,134,537,76,141,16,10,2,45.0,33.0,16.0,67,90.0,0.0,1.0,4.0,3.0,6.0,1975.0,9.0,12.0,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Luis,Castillo,Luis Antonio,145.0,71.0,B,R,1996-08-08,2010-10-03,castl001,castilu01,2002,FLO,NL,3325000
