playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary,BA,OBP
coomero01,2001,1,111,349,25,91,19,1,8,53.0,0.0,0.0,29,70.0,1.0,2.0,0.0,6.0,23.0,1966.0,11.0,18.0,USA,IL,Crest Hill,,,,,,,Ron,Coomer,Ronald Bryan,195.0,71.0,R,R,1995-08-01,2003-09-28,coomr001,coomero01,2002,NYA,AL,750000,0.2607449856733524,0.3160621761658031
hernara02,2001,1,136,453,55,115,25,0,15,60.0,1.0,1.0,37,68.0,3.0,6.0,9.0,4.0,10.0,1976.0,5.0,20.0,Venezuela,Distrito Federal,Caracas,,,,,,,Ramon,Hernandez,Ramon Jose,220.0,72.0,R,R,1999-06-29,2013-06-12,hernr002,hernara02,2002,OAK,AL,497500,0.2538631346578366,0.316
branyru01,2001,1,113,315,48,73,16,2,20,54.0,1.0,1.0,38,132.0,1.0,3.0,0.0,5.0,2.0,1975.0,12.0,19.0,USA,GA,Warner Robins,,,,,,,Russell,Branyan,Russell Oles,235.0,76.0,L,R,1998-09-26,2011-09-26,branr001,branyru01,2002,CLE,AL,251000,0.2317460317460317,0.3157894736842105
maciajo01,2001,1,137,488,62,131,24,6,8,51.0,21.0,6.0,32,54.0,0.0,3.0,8.0,3.0,7.0,1972.0,1.0,25.0,Panama,Panama,Panama,,,,,,,Jose,Macias,Jose Prado,173.0,70.0,B,R,1999-05-12,2005-10-02,macij001,maciajo01,2002,DET,AL,375000,0.2684426229508196,0.3155893536121673
hockide01,2001,1,112,327,34,82,16,2,3,25.0,6.0,1.0,29,67.0,1.0,2.0,4.0,1.0,7.0,1970.0,4.0,2.0,USA,CA,Torrance,,,,,,,Denny,Hocking,Dennis Lee,180.0,70.0,B,R,1993-09-10,2005-09-28,hockd001,hockide01,2002,MIN,AL,1100000,0.2507645259938837,0.3147632311977716
blumge01,2001,1,148,453,57,107,25,0,9,50.0,9.0,5.0,43,94.0,8.0,10.0,3.0,5.0,12.0,1973.0,4.0,26.0,USA,CA,Redwood City,,,,,,,Geoff,Blum,Geoffrey Edward,220.0,75.0,B,R,1999-08-09,2012-07-17,blumg001,blumge01,2002,HOU,NL,315000,0.2362030905077262,0.3131115459882583
tynerja01,2001,1,105,396,51,111,8,5,0,21.0,31.0,6.0,15,42.0,0.0,3.0,5.0,1.0,6.0,1977.0,4.0,23.0,USA,TX,Bedford,,,,,,,Jason,Tyner,Jason Renyt,170.0,73.0,L,L,2000-06-05,2008-05-12,tynej001,tynerja01,2002,TBA,AL,250000,0.2803030303030303,0.3108433734939759
anderbr01,2001,1,131,430,50,87,12,3,8,45.0,12.0,4.0,60,77.0,4.0,8.0,2.0,1.0,3.0,1964.0,1.0,18.0,USA,MD,Silver Spring,,,,,,,Brady,Anderson,Brady Kevin,170.0,73.0,L,L,1988-04-04,2002-05-20,andeb001,anderbr01,2002,CLE,AL,200000,0.2023255813953488,0.3106212424849699
molinbe01,2001,1,96,325,31,85,11,0,6,40.0,0.0,1.0,16,51.0,3.0,8.0,2.0,4.0,8.0,1974.0,7.0,20.0,P.R.,,Rio Piedras,,,,,,,Bengie,Molina,Benjamin Jose,190.0,71.0,R,R,1998-09-21,2010-10-03,molib001,molinbe01,2002,ANA,AL,350000,0.2615384615384615,0.3087818696883853
hairsje02,2001,1,159,532,63,124,25,5,8,47.0,29.0,11.0,44,73.0,0.0,13.0,9.0,4.0,12.0,1976.0,5.0,29.0,USA,IA,Des Moines,,,,,,,Jerry,Hairston,Jerry Wayne,195.0,70.0,R,R,1998-09-11,2013-09-25,hairj002,hairsje02,2002,BAL,AL,300000,0.2330827067669172,0.3052276559865092
